電影,#genre#
$c_start🍌電影🍌$c_end
HBO,http://50.7.61.148:30080/Entry/hbo
HBO,http://125.227.210.37:16027/VideoInput/play.ts
HBO,http://50.7.161.82:8278/streams/d/Hbo/playlist.m3u8
HBO_HITS,http://43.128.9.168/jjtv.php?id=60
NOw電影台,http://v3948069e.live.126.net/live/tjhspsve38605566/90.flv
Star Movies HD,http://125.227.210.37:18789/VideoInput/play.ts
StarMovies,http://v3948069e.live.126.net/live/yqoehlux01230389/91.flv
FOX優質電影台,p8p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts#p5p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts
FOX優質電影台,p8p://fccs.123178.top:9906/60441060000dae1309d2c7eb236de319.ts#p5p://fccs.123178.top:9906/60441060000dae1309d2c7eb236de319.ts
AXN,http://50.7.61.148:30080/Entry/axn
AXN,http://43.128.9.168/jjtv.php?id=80
天映電影台,http://v3948069e.live.126.net/live/opfjgxli60133639/68.flv
東森洋片,http://125.227.210.37:18685/VideoInput/play.ts
東森洋片,http://125.227.210.55:18685/VideoInput/play.ts
東森洋片,http://host496323.us.ooqr.com/pltv/gz.php?id=dsyp
東森洋片,https://flv3948069e.live.126.net/live/sytv_02f30bf53e84628fcf0dde0bae773f6f.flv
東森電影,http://host496323.us.ooqr.com/pltv/gz.php?id=dsdy
粵語電影,https://p2.weizan.cn/1646497941/965138011405789996/live.m3u8
靖天電影台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv061
影迷數位電影台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv011
衛視電影台,https://flv3948069e.live.126.net/live/sytv_72a30baf1e84656b6e2dde008e77399a.flv
龍翔時代,http://host496323.us.ooqr.com/pltv/gz.php?id=lxsd
龍華洋片,p8p://fccs.123178.top:9906/6044287d000e2bb500510e64fec426ab.ts#p5p://fccs.123178.top:9906/6044287d000e2bb500510e64fec426ab.ts
龍華經典,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-longturn21
龍華電影,https://flv3948069e.live.126.net/live/sytv_ebc30b5f7e846f91091dde53ae77352c.flv
CHC 動作電影,http://93.190.139.36:8278/streams/d/chcaction/playlist.m3u8
CHC 家庭影院,http://93.190.139.36:8278/streams/d/chcfamily/playlist.m3u8
kk經典電影,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
kk影視,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
八度空間,http://50.7.161.82:8278/streams/d/TV8/playlist.m3u8
鳳凰衛視電影台,rtmp://58.200.131.2:1935/livetv/fhdy
國內影院,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_199681168_4000.flv
國外影院,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_382971876_4000.flv
國語星河台,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
華納電視,https://www.livedoomovie.com/02_WarnerTVHD_720p/chunklist.m3u8
恐怖影院,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_363783415_4000.flv
蓮花衛視,http://0x60n703.dongtaiyuming.net/live/8/index.m3u8
奇藝影院,http://50.7.161.82:8277/streams/d/iqiyi_pye/playlist.m3u8
樂視_動作電影,http://api.idianshijia.com/gslb/live?stream_id=lsloop_dongwu
樂視_經典電影,http://api.idianshijia.com/gslb/live?stream_id=lsloop_dianying
樂視_綜藝節目,http://api.idianshijia.com/gslb/live?stream_id=lsloop_zongyi
樂視_喜劇電影,http://api.idianshijia.com/gslb/live?stream_id=lsloop_xiju
kk經典,http://hpull.kktv8.com/livekktv/104621340/playlist.m3u8
玄幻影院,https://tx.liveplay.live.kugou.com/live/fx_hifi_1308614369_avc.m3u8
中國電影,http://93.190.139.36:8278/streams/d/chcfamily/playlist.m3u8
ASTrO港劇台,http://50.7.161.82:8277/streams/d/aod_pye/playlist.m3u8
boo恐怖片,http://50.7.161.82:8278/streams/d/Boo/playlist.m3u8
CINEMAX HD,https://dl.dropbox.com/s/1nqhsz02w72ojjl/MAX.m3u8
HBO RED HD,https://dl.dropbox.com/s/4g9x2urazh01m7i/RED.m3u8
HBO HD,https://dl.dropbox.com/s/as9p2yufyypakyl/HBO.m3u8
吃米滴蟲,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=315457
吃奶滴蟲,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=263824
經典港片1,http://tx2play1.douyucdn.cn/85894rmovieChow.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=85894
經典港片2,http://tx2play1.douyucdn.cn/122402rK7MO9bXSq.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=122402
經典港片3,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=5033502
貝爺影院1廳,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=252802
貝爺影院2廳,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=36337
可樂歐美經典,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=20415
小宇科幻動作,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=323876
IMAX影廳,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=4332
看美劇,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=8869614
藍光高清,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=7473576
藍光影視,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb05.php?id=hls
精彩影院,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=9388931
邵氏電影,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=4246519
牛叔解說,http://tx2play1.douyucdn.cn/live/2758565rJJRPOZig.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=2758565#http://wwww.jhbwtv.top./douyuwwd/douyum3u8.php?id=
高分經典,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=6079455
經典大片,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=2793084
